path,raw_duration_s,raw_speed_mean,raw_speed_p90,raw_speed_cv,raw_acc_mean,raw_jerk_mean,raw_wrist_speed_mean,raw_ankle_speed_mean,raw_wrist_ankle_ratio,raw_hip_speed_mean,raw_hip_path,raw_hip_efficiency,raw_pose_amplitude,raw_low_motion_frac,raw_longest_low_motion_s,raw_cad_hz,raw_cad_peak_frac
HAU/user1/1-1-1,55.40000000037253,0.3345180139111076,0.5998954392228615,1.0418800163918867,4.549215487952142,78.03799213092871,0.2656594501282761,0.48051497156962647,0.5528640423161467,0.37975181706356526,21.038250665462986,0.023030091034589435,0.6036318902726241,0.0703971119133574,0.900000000006052,0.14440433212899287,0.05711545150502346
HAU/user1/1-1-2,52.59999999962747,0.29407186104913885,0.6837601596456324,1.0010155783303236,3.8893044365361917,65.84954802877601,0.2327369543515652,0.4482822271348914,0.5191750637090456,0.3308183946326567,17.4010475575545,0.018150167781461786,0.5439161467182536,0.2224334600760456,5.599999999960339,0.17110266159816997,0.0546596699945255
HAU/user1/1-1-3,19.90000000037253,0.5831861402926832,1.1544829097847313,0.773572235354998,8.097066448833779,135.58735705957787,0.5402922463886846,0.8750601460849982,0.6174344108670782,0.5879311383087555,11.69982965256326,0.021657302650387546,0.5535221245803107,0.17587939698492464,3.5000000000655183,0.2512562814023317,0.06932584556251094
HAU/user1/1-2-1,23.599999999627478,0.34663415314364626,0.7117652977956588,1.935653518369772,4.777307364065529,81.48400873753361,0.3006889690612817,0.44609279920004646,0.674050262471038,0.332369727925005,7.843925578906303,0.0619591348111754,0.6673473786608453,0.22033898305084745,0.9999999999842147,0.1271186440698032,0.3299885449994854
HAU/user1/1-2-2,,,,,,,,,,,,,,,,,
HAU/user1/1-2-3,,,,,,,,,,,,,,,,,
HAU/user1/2-1-1,,,,,,,,,,,,,,,,,
HAU/user1/2-1-2,31.499999999999996,0.3213512335507992,0.8138394393382029,1.4128469609286578,4.519771467949668,79.17174832283719,0.21982348138768568,0.3538732285807222,0.6211927408245546,0.25259947141453737,7.956883349557927,0.06748613196073702,0.6536450521039372,0.23174603174603176,0.7999999999999999,0.15873015873015872,0.13747827939270219
HAU/user1/2-1-3,20.800000000745058,0.6458662251141581,1.1733509143927277,1.5291461440724807,9.275854427146736,155.67890575700136,0.5156150696192625,0.763949672962396,0.6749332936355735,0.673952245794803,14.018206713034033,0.04126333723599207,0.7012330608133467,0.08173076923076923,0.400000000014328,0.24038461537600478,0.10044878565051335
HAU/user1/2-2-1,22.100000001490123,0.12325672943235894,0.27229425051772604,0.9064959481152951,1.61270076370398,27.84070163019006,0.10803116134626667,0.1535060914617547,0.7037581350276512,0.12583898842932298,2.7810416444755526,0.05456768761830091,0.4174099271368829,0.14479638009049775,2.5000000001685665,0.3167420814266071,0.09879262964294999
