feature,n_finite,coverage,median,p10,p90
duration_s,796,0.9839307787391842,15.150000000372529,7.099999999627471,32.54999999888241
sk_v_mean,796,0.9839307787391842,0.02876513507562965,0.01234680330423295,0.055605779762268395
sk_v_p90,796,0.9839307787391842,0.05536767681639905,0.023857930683515702,0.12903218964803342
sk_vmax_mean,796,0.9839307787391842,0.08931192858678795,0.04049473397731525,0.19695454095629922
sk_a_mean,796,0.9839307787391842,0.03969490937525255,0.01517337038629845,0.08610511781962535
sk_jerk_mean,796,0.9839307787391842,0.0238342249084214,0.008524503540759499,0.0532839818442215
sk_vwrist_mean,796,0.9839307787391842,0.0273889016494488,0.0107624487817226,0.05532674122082755
sk_vankle_mean,796,0.9839307787391842,0.04283791859945385,0.02156034673274455,0.08077186002222689
sk_hip_path,796,0.9839307787391842,4.307059004990688,1.5185715404712323,9.934548075307209
sk_cad_hz,796,0.9839307787391842,0.1234567901234568,0.040901334939275294,0.5298245614035088
sk_cad_pow,796,0.9839307787391842,0.0628137757530599,0.029841632198940947,0.14743546114144196
sk_spec_cent,796,0.9839307787391842,1.9044262115900834,1.5261820639312522,2.2136519983704974
sk_v_iqr,796,0.9839307787391842,0.02283149140138285,0.00961944122092165,0.0481917717275663
imu_acc_std,789,0.9752781211372065,0.2140816142274184,0.09425017209426864,0.5271881048430943
imu_dacc_mean,788,0.9740420271940667,0.14689024276645266,0.06650817978023729,0.34353708342917855
imu_acc_energy,789,0.9752781211372065,0.0458309375502172,0.00888314209059568,0.27792763218295946
imu_gyr_mean,789,0.9752781211372065,61.03848443200345,31.683299115518317,105.68810482927496
imu_gyr_energy,789,0.9752781211372065,7035.965488638243,2641.92543646,16873.111046837734
rad_v_mean,795,0.9826946847960445,0.0492221763915442,0.01395986929054476,0.11030755307509127
rad_v_p90,795,0.9826946847960445,0.2414230555295944,0.0,0.4828490614891052
dino_v_mean,809,1.0,0.2670085,0.220329044,0.31981249200000006
dino_v_p90,809,1.0,0.3515886,0.29023717400000004,0.41410312
dino_acc_mean,809,1.0,0.04756741,0.0371362672,0.057847311400000004
dino_cos_mean,809,1.0,0.9615596,0.9458201940000001,0.97411128
dino_v_iqr,809,1.0,0.07872751,0.05954856,0.10518215680000001
dino_path,809,1.0,39.52550506591797,18.26310424804688,91.0177459716797
dino_straight,809,1.0,0.01264803005655,0.0057627679652336,0.029174611168038735
dino_cad_hz,809,1.0,0.1492537313432835,0.04863977485928701,0.8532648569332361
dino_cad_pow,809,1.0,0.0515165915928392,0.024402564511578344,0.10337026207811567
dino_spec_cent,809,1.0,2.05532082224017,1.8192333647321277,2.2513639113872963
raw_duration_s,796,0.9839307787391842,15.15000000037253,7.09999999962747,32.5499999988824
raw_speed_mean,796,0.9839307787391842,0.29219120496078593,0.12964037467264578,0.5614727399616528
raw_speed_p90,796,0.9839307787391842,0.557966362536809,0.26580706671256554,1.2100923020482317
raw_speed_cv,796,0.9839307787391842,0.9854638445979977,0.664168604686235,1.8505769381895094
raw_acc_mean,796,0.9839307787391842,3.648308016877624,1.4756860623633146,8.267729208326774
raw_jerk_mean,796,0.9839307787391842,61.03284427392323,22.507501824401345,143.40899765189135
raw_wrist_speed_mean,796,0.9839307787391842,0.24879589421103776,0.105314049716414,0.5178903547936733
raw_ankle_speed_mean,796,0.9839307787391842,0.4510027352110106,0.21090561600758426,0.8283922758393076
raw_wrist_ankle_ratio,796,0.9839307787391842,0.5696529387611727,0.38286602692155813,0.7852281004809041
raw_hip_speed_mean,796,0.9839307787391842,0.2828425516550541,0.12288758343557571,0.5388717699482481
raw_hip_path,796,0.9839307787391842,4.307059004990688,1.5185715404712328,9.934548075307209
raw_hip_efficiency,796,0.9839307787391842,0.0569383392575155,0.013419911701586257,0.14462145254794148
raw_pose_amplitude,796,0.9839307787391842,0.45736922699180504,0.2344869941679969,0.7449406833221136
raw_low_motion_frac,796,0.9839307787391842,0.07362240289069558,0.008762332527160351,0.2928921568627451
raw_longest_low_motion_s,796,0.9839307787391842,0.3999999999907805,0.0999999999846906,1.749999999975546
raw_cad_hz,794,0.9814585908529048,0.19607843138687156,0.11363636363035046,0.677840287573156
raw_cad_peak_frac,794,0.9814585908529048,0.1560938930380997,0.07365315693193111,0.3487572378773268
