true_label,pred_label,n,is_diagonal
Absentmindedly,Absentmindedly,2,True
Absentmindedly,Anxiously,0,False
Absentmindedly,Attentively,0,False
Absentmindedly,Briskly,0,False
Absentmindedly,Calmly,0,False
Absentmindedly,Carefully,0,False
Absentmindedly,Casually,0,False
Absentmindedly,Cautiously,0,False
Absentmindedly,Confidently,0,False
Absentmindedly,Contently,0,False
Absentmindedly,Deliberately,0,False
Absentmindedly,Diligently,0,False
Absentmindedly,Eagerly,0,False
Absentmindedly,Earnestly,0,False
Absentmindedly,Evenly,0,False
Absentmindedly,Firmly,0,False
Absentmindedly,Forcefully,0,False
Absentmindedly,Frantically,0,False
Absentmindedly,Gently,0,False
Absentmindedly,Gracefully,0,False
Absentmindedly,Hasitly,0,False
Absentmindedly,Hastily,0,False
Absentmindedly,Hurriedly,0,False
Absentmindedly,Impatiently,0,False
Absentmindedly,Intently,0,False
Absentmindedly,Joyfully,0,False
Absentmindedly,Lazily,0,False
Absentmindedly,Leisurely,0,False
Absentmindedly,Lightly,0,False
Absentmindedly,Methodically,0,False
Absentmindedly,Meticulously,0,False
Absentmindedly,Naturally,0,False
Absentmindedly,Neatly,0,False
Absentmindedly,Nervously,0,False
Absentmindedly,Orderly,0,False
Absentmindedly,Patiently,0,False
Absentmindedly,Peacefully,0,False
Absentmindedly,Precisely,0,False
Absentmindedly,Quickly,0,False
Absentmindedly,Quietly,0,False
Absentmindedly,Rapidly,0,False
Absentmindedly,Relaxedly,0,False
Absentmindedly,Restlessly,0,False
Absentmindedly,Seriously,0,False
Absentmindedly,Slowly,0,False
Absentmindedly,Smoothly,0,False
Absentmindedly,Softly,0,False
Absentmindedly,Soothingly,0,False
Absentmindedly,Steadily,0,False
Absentmindedly,Swiftly,0,False
Absentmindedly,Tensely,0,False
Absentmindedly,Tensly,0,False
Absentmindedly,Thoroughly,0,False
Absentmindedly,Unhurriedly,0,False
Absentmindedly,Urgently,0,False
Absentmindedly,quickly,0,False
Anxiously,Absentmindedly,0,False
Anxiously,Anxiously,29,True
Anxiously,Attentively,0,False
Anxiously,Briskly,0,False
Anxiously,Calmly,1,False
Anxiously,Carefully,0,False
Anxiously,Casually,0,False
Anxiously,Cautiously,0,False
Anxiously,Confidently,0,False
Anxiously,Contently,0,False
Anxiously,Deliberately,0,False
Anxiously,Diligently,0,False
Anxiously,Eagerly,0,False
Anxiously,Earnestly,0,False
Anxiously,Evenly,0,False
Anxiously,Firmly,0,False
Anxiously,Forcefully,0,False
Anxiously,Frantically,0,False
Anxiously,Gently,0,False
Anxiously,Gracefully,0,False
Anxiously,Hasitly,0,False
Anxiously,Hastily,0,False
Anxiously,Hurriedly,0,False
Anxiously,Impatiently,0,False
Anxiously,Intently,0,False
Anxiously,Joyfully,0,False
Anxiously,Lazily,0,False
Anxiously,Leisurely,1,False
Anxiously,Lightly,0,False
Anxiously,Methodically,0,False
Anxiously,Meticulously,0,False
Anxiously,Naturally,0,False
Anxiously,Neatly,0,False
Anxiously,Nervously,0,False
Anxiously,Orderly,0,False
Anxiously,Patiently,0,False
Anxiously,Peacefully,0,False
Anxiously,Precisely,0,False
Anxiously,Quickly,0,False
Anxiously,Quietly,0,False
Anxiously,Rapidly,0,False
Anxiously,Relaxedly,0,False
Anxiously,Restlessly,0,False
Anxiously,Seriously,0,False
Anxiously,Slowly,0,False
Anxiously,Smoothly,0,False
Anxiously,Softly,0,False
Anxiously,Soothingly,0,False
Anxiously,Steadily,0,False
Anxiously,Swiftly,0,False
Anxiously,Tensely,0,False
Anxiously,Tensly,0,False
Anxiously,Thoroughly,0,False
Anxiously,Unhurriedly,0,False
Anxiously,Urgently,0,False
Anxiously,quickly,0,False
Attentively,Absentmindedly,0,False
Attentively,Anxiously,0,False
Attentively,Attentively,17,True
Attentively,Briskly,0,False
Attentively,Calmly,0,False
Attentively,Carefully,0,False
Attentively,Casually,0,False
Attentively,Cautiously,0,False
Attentively,Confidently,0,False
Attentively,Contently,0,False
Attentively,Deliberately,0,False
Attentively,Diligently,0,False
Attentively,Eagerly,0,False
Attentively,Earnestly,0,False
Attentively,Evenly,0,False
Attentively,Firmly,0,False
Attentively,Forcefully,0,False
Attentively,Frantically,0,False
Attentively,Gently,0,False
Attentively,Gracefully,0,False
Attentively,Hasitly,0,False
Attentively,Hastily,0,False
Attentively,Hurriedly,0,False
Attentively,Impatiently,0,False
Attentively,Intently,0,False
Attentively,Joyfully,0,False
Attentively,Lazily,0,False
Attentively,Leisurely,1,False
Attentively,Lightly,0,False
Attentively,Methodically,0,False
Attentively,Meticulously,0,False
Attentively,Naturally,0,False
Attentively,Neatly,0,False
Attentively,Nervously,0,False
Attentively,Orderly,0,False
Attentively,Patiently,0,False
Attentively,Peacefully,0,False
Attentively,Precisely,0,False
Attentively,Quickly,0,False
Attentively,Quietly,0,False
Attentively,Rapidly,0,False
Attentively,Relaxedly,0,False
Attentively,Restlessly,0,False
Attentively,Seriously,0,False
Attentively,Slowly,0,False
Attentively,Smoothly,0,False
Attentively,Softly,0,False
Attentively,Soothingly,0,False
Attentively,Steadily,0,False
Attentively,Swiftly,0,False
Attentively,Tensely,0,False
Attentively,Tensly,0,False
Attentively,Thoroughly,0,False
Attentively,Unhurriedly,0,False
Attentively,Urgently,0,False
Attentively,quickly,0,False
Briskly,Absentmindedly,0,False
Briskly,Anxiously,0,False
Briskly,Attentively,0,False
Briskly,Briskly,13,True
Briskly,Calmly,0,False
Briskly,Carefully,0,False
Briskly,Casually,0,False
Briskly,Cautiously,0,False
Briskly,Confidently,0,False
Briskly,Contently,0,False
Briskly,Deliberately,0,False
Briskly,Diligently,0,False
Briskly,Eagerly,0,False
Briskly,Earnestly,0,False
Briskly,Evenly,0,False
Briskly,Firmly,0,False
Briskly,Forcefully,0,False
Briskly,Frantically,0,False
Briskly,Gently,0,False
Briskly,Gracefully,0,False
Briskly,Hasitly,0,False
Briskly,Hastily,0,False
Briskly,Hurriedly,0,False
Briskly,Impatiently,0,False
Briskly,Intently,0,False
Briskly,Joyfully,0,False
Briskly,Lazily,0,False
Briskly,Leisurely,0,False
Briskly,Lightly,0,False
Briskly,Methodically,0,False
Briskly,Meticulously,0,False
Briskly,Naturally,0,False
Briskly,Neatly,0,False
Briskly,Nervously,0,False
Briskly,Orderly,0,False
Briskly,Patiently,0,False
Briskly,Peacefully,0,False
Briskly,Precisely,0,False
Briskly,Quickly,0,False
Briskly,Quietly,0,False
Briskly,Rapidly,0,False
Briskly,Relaxedly,0,False
Briskly,Restlessly,0,False
Briskly,Seriously,0,False
Briskly,Slowly,0,False
Briskly,Smoothly,0,False
Briskly,Softly,0,False
Briskly,Soothingly,0,False
Briskly,Steadily,0,False
Briskly,Swiftly,0,False
Briskly,Tensely,0,False
Briskly,Tensly,0,False
Briskly,Thoroughly,0,False
Briskly,Unhurriedly,0,False
Briskly,Urgently,0,False
Briskly,quickly,0,False
Calmly,Absentmindedly,0,False
Calmly,Anxiously,1,False
Calmly,Attentively,0,False
Calmly,Briskly,0,False
Calmly,Calmly,54,True
Calmly,Carefully,1,False
Calmly,Casually,0,False
Calmly,Cautiously,0,False
Calmly,Confidently,0,False
Calmly,Contently,0,False
