qa_id,fold,path,session_id,cc,block_size,action_pool,n_actions,any_locomotion,true_label,pred_label,group,pred_group,correct_bool,duration_s,raw_duration_s,raw_speed_mean,raw_speed_p90,raw_speed_cv,raw_acc_mean,raw_jerk_mean,raw_wrist_speed_mean,raw_ankle_speed_mean,raw_wrist_ankle_ratio,raw_hip_speed_mean,raw_hip_path,raw_hip_efficiency,raw_pose_amplitude,raw_low_motion_frac,raw_longest_low_motion_s,raw_cad_hz,raw_cad_peak_frac,rank__duration_s,rank__sk_v_mean,rank__sk_v_p90,rank__sk_vmax_mean,rank__sk_a_mean,rank__sk_jerk_mean,rank__sk_vwrist_mean,rank__sk_vankle_mean,rank__sk_hip_path,rank__sk_cad_hz,rank__sk_cad_pow,rank__sk_spec_cent,rank__sk_v_iqr,rank__imu_acc_std,rank__imu_dacc_mean,rank__imu_acc_energy,rank__imu_gyr_mean,rank__imu_gyr_energy,rank__rad_v_mean,rank__rad_v_p90,rank__dino_v_mean,rank__dino_v_p90,rank__dino_acc_mean,rank__dino_cos_mean,rank__dino_v_iqr,rank__dino_path,rank__dino_straight,rank__dino_cad_hz,rank__dino_cad_pow,rank__dino_spec_cent,rank__raw_duration_s,rank__raw_speed_mean,rank__raw_speed_p90,rank__raw_speed_cv,rank__raw_acc_mean,rank__raw_jerk_mean,rank__raw_wrist_speed_mean,rank__raw_ankle_speed_mean,rank__raw_wrist_ankle_ratio,rank__raw_hip_speed_mean,rank__raw_hip_path,rank__raw_hip_efficiency,rank__raw_pose_amplitude,rank__raw_low_motion_frac,rank__raw_longest_low_motion_s,rank__raw_cad_hz,rank__raw_cad_peak_frac,z__duration_s,z__sk_v_mean,z__sk_v_p90,z__sk_vmax_mean,z__sk_a_mean,z__sk_jerk_mean,z__sk_vwrist_mean,z__sk_vankle_mean,z__sk_hip_path,z__sk_cad_hz,z__sk_cad_pow,z__sk_spec_cent,z__sk_v_iqr,z__imu_acc_std,z__imu_dacc_mean,z__imu_acc_energy,z__imu_gyr_mean,z__imu_gyr_energy,z__rad_v_mean,z__rad_v_p90,z__dino_v_mean,z__dino_v_p90,z__dino_acc_mean,z__dino_cos_mean,z__dino_v_iqr,z__dino_path,z__dino_straight,z__dino_cad_hz,z__dino_cad_pow,z__dino_spec_cent,z__raw_duration_s,z__raw_speed_mean,z__raw_speed_p90,z__raw_speed_cv,z__raw_acc_mean,z__raw_jerk_mean,z__raw_wrist_speed_mean,z__raw_ankle_speed_mean,z__raw_wrist_ankle_ratio,z__raw_hip_speed_mean,z__raw_hip_path,z__raw_hip_efficiency,z__raw_pose_amplitude,z__raw_low_motion_frac,z__raw_longest_low_motion_s,z__raw_cad_hz,z__raw_cad_peak_frac
training_2724,1,HAU/user1/1-1-1,user1/1/1,1,3,Combing hair | Getting dressed | Jumping jacks | Squats | Walking | Wiping hands,6,True,Leisurely,Leisurely,SLOW,SLOW,True,55.40000000037253,55.40000000037253,0.3345180139111076,0.5998954392228615,1.0418800163918867,4.549215487952142,78.03799213092871,0.2656594501282761,0.48051497156962647,0.5528640423161467,0.37975181706356526,21.038250665462986,0.023030091034589435,0.6036318902726241,0.0703971119133574,0.900000000006052,0.14440433212899287,0.05711545150502346,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.7921986758677805,-0.26286915812066364,-0.26918897526593033,-0.2692181586750125,-0.10467662583693557,-0.29126999992157954,-0.3108846464046461,-0.5723226595834211,1.1253863988738744,-0.7714446197913908,-0.2770194372554647,-1.3866590104834526,-0.6293895676352582,-0.7936595084853324,-0.7312856118355918,-0.7539244519543942,-0.6802831441323611,-0.7810946082763,-0.4062902228085499,-0.7071067811865476,-0.41239079214358126,-0.23507697432684288,-0.16106176615639983,0.42350832377524444,-1.236648503507917,0.8651350206494923,-0.8099556053999529,-1.3953374604588449,-0.4752474815075029,-0.5447316551679969,0.7921986758677805,-0.5429765292314135,-0.8719124714387815,0.8731120426884694,-0.5209800279517418,-0.4971869837263556,-0.5843506793637996,-0.6224194884617323,-0.2524892886104411,-0.4761782299105803,1.125386398873874,1.0143478735509917,1.398258999189465,-1.3496004399875123,-1.2657902254329558,-0.9804316701278102,-0.50696657665365
training_2725,1,HAU/user1/1-1-2,user1/1/1,2,3,Combing hair | Getting dressed | Jumping jacks | Squats | Walking | Wiping hands,6,True,Calmly,Calmly,SLOW,SLOW,True,52.59999999962747,52.59999999962747,0.29407186104913885,0.6837601596456324,1.0010155783303236,3.8893044365361917,65.84954802877601,0.2327369543515652,0.4482822271348914,0.5191750637090456,0.3308183946326567,17.4010475575545,0.018150167781461786,0.5439161467182536,0.2224334600760456,5.599999999960339,0.17110266159816997,0.0546596699945255,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.6184527521359109,-1.0719667896781708,-1.0677586101284433,-1.067739117849867,-1.169047008346917,-1.0528521048339443,-1.0393434536097346,-0.8338096876884377,0.17901367657424738,-0.6407546255228203,-1.0625086715466228,0.4527414933130542,-0.7820739151859157,-0.6168656824853068,-0.6826491455163847,-0.6592319838883808,-0.7335954222005914,-0.6304416329670818,-0.9699687752826203,-0.7071067811865476,-0.9653208760799845,-1.0901676493226005,-1.1362453209182246,0.9567836101890069,0.02416487996998615,0.5362751224254607,-0.5990037399395772,0.8971055086334971,-0.915894734820256,1.4026094154417053,0.6184527521359109,-0.859388548537633,-0.528318871089935,0.5269046787802053,-0.8781209195113107,-0.8979682497843517,-0.8231276293114131,-0.788538174742966,-1.078822519529538,-0.9151414430943221,0.1790136765742456,-1.3605928219467436,-0.8825792976029532,1.0407701494813228,1.1790922647584767,-0.39243092619327785,-0.8898620958931237
training_2726,1,HAU/user1/1-1-3,user1/1/1,3,3,Combing hair | Getting dressed | Jumping jacks | Squats | Walking | Wiping hands,6,True,Hastily,Hastily,FAST,FAST,True,19.90000000037253,19.90000000037253,0.5831861402926832,1.1544829097847313,0.773572235354998,8.097066448833779,135.58735705957787,0.5402922463886846,0.8750601460849982,0.6174344108670782,0.5879311383087555,11.69982965256326,0.021657302650387546,0.5535221245803107,0.17587939698492464,3.5000000000655183,0.2512562814023317,0.06932584556251094,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,-1.4106514280036908,1.3348359477988334,1.3369475853943762,1.3369572765248798,1.2737236341838514,1.3441221047555225,1.3502281000143823,1.4061323472718597,-1.3044000754481209,1.412199245314211,1.3395281088020872,0.9339175171703968,1.411463482821173,1.4105251909706389,1.4139347573519772,1.4131564358427753,1.4138785663329525,1.411536241243381,1.3762589980911706,1.414213562373095,1.3777116682235657,1.32524462364945,1.2973070870746146,-1.3802919339642514,1.2124836235379288,-1.4014101430749528,1.4089593453395293,0.49823195182534796,1.3911422163277587,-0.8578777602736958,-1.4106514280036908,1.4023650777690477,1.400231342528717,-1.4000167214686747,1.3991009474630531,1.3951552335107074,1.4074783086752134,1.4109576632046998,1.3313118081399764,1.3913196730049024,-1.3044000754481215,0.34624494839575376,-0.5156797015865118,0.30883029050619,0.08669796067447808,1.372862596321088,1.3968286725467716
training_2727,1,HAU/user1/1-2-1,user1/1/2,1,3,Eating | Grabbing utensils | Peeling fruit | Walking | Washing dishes,5,True,Slowly,Quietly,SLOW,SLOW,False,23.59999999962747,23.599999999627478,0.34663415314364626,0.7117652977956588,1.935653518369772,4.777307364065529,81.48400873753361,0.3006889690612817,0.44609279920004646,0.674050262471038,0.332369727925005,7.843925578906303,0.0619591348111754,0.6673473786608453,0.22033898305084745,0.9999999999842147,0.1271186440698032,0.3299885449994854,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7943647346996415,-0.8216064097518273,-0.7499605307255043,-0.8029055398278251,-0.9524140840346705,0.9999999999999996,0.0,-0.5579688275126505,-0.859029353486012,-1.2727849215116767,0.6817639148441408,-0.6704174316511999,0.5759820412704222,-0.8939351959399112,-0.6280237855950805,-0.5914099039412607,0.29818198944314833,,,,,,,,,,,,,,,,,
training_2728,1,HAU/user1/1-2-2,user1/1/2,2,3,Eating | Grabbing utensils | Peeling fruit | Walking | Washing dishes,5,True,Precisely,Slowly,CARE,SLOW,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6160986900075031,-0.5860529435181435,-0.663369098659512,-0.6067669584118836,-0.42915507305005574,-1.0000000000000004,0.0,-0.8464057810841634,-0.5433940689197376,0.10252552257798805,0.7321504154876408,1.4135896088794686,0.8305721273812375,-0.502063433711784,-0.7833438350979859,-0.81680380940617,1.048120609748907,,,,,,,,,,,,,,,,,
training_2729,1,HAU/user1/1-2-3,user1/1/2,3,3,Eating | Grabbing utensils | Peeling fruit | Walking | Washing dishes,5,True,Hastily,Hastily,FAST,FAST,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4104634247071446,1.4076593532699706,1.413329629385016,1.4096724982397082,1.3815691570847264,,,1.4043746085968178,1.4024234224057495,1.1702593989336834,-1.4139143303318153,-0.7431721772282652,-1.4065541686516603,1.3959986296516935,1.411367620693065,1.4082137133474302,-1.3463025991920632,,,,,,,,,,,,,,,,,
training_2730,1,HAU/user1/2-1-1,user1/2/1,1,3,Eating | Grabbing utensils | Peeling fruit | Pouring | Stirring | Walking,6,True,Gently,Gently,SLOW,SLOW,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.5,0.5,0.5,0.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6592860048961823,-0.744217005128251,-0.6812317701310052,-0.5901049970145456,-0.6437036320594182,-0.9366467703758051,-0.7071067811865475,-1.2740990371940866,-1.2350814006397166,-1.2699542357396045,1.2275207979582128,-1.179481247050586,1.308774063839889,-1.4116294851002529,-0.7921314738696895,-1.0817569366695343,-1.384520759063262,,,,,,,,,,,,,,,,,
training_2731,1,HAU/user1/2-1-2,user1/2/1,2,3,Eating | Grabbing utensils | Peeling fruit | Pouring | Stirring | Walking,6,True,Neatly,Neatly,CARE,CARE,True,31.5,31.499999999999996,0.3213512335507992,0.8138394393382029,1.4128469609286578,4.519771467949668,79.17174832283719,0.21982348138768568,0.3538732285807222,0.6211927408245546,0.25259947141453737,7.956883349557927,0.06748613196073702,0.6536450521039372,0.23174603174603176,0.7999999999999999,0.15873015873015872,0.13747827939270219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-0.9999999999999997,-0.9999999999999998,-1.0000000000000002,-0.9999999999999998,-0.9999999999999998,-0.9999999999999999,1.0000000000000002,-0.9999999999999993,-1.0000000000000355,-1.0000000000000002,-0.7538727901507171,-0.6693355847293081,-0.7326699373150659,-0.8179758341841495,-0.7686683468077944,-0.4492928857328072,-0.7071067811865475,0.1055387166693439,0.02094163030266555,0.09607807412851592,-0.005570857853108813,-0.08599452495523417,-0.19034733818134095,0.779819118074119,1.4106571798707561,-0.24801407661385128,0.4426072185419096,0.9999999999999997,-1.0,-1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-1.0,-1.0000000000000002,-1.000000000000002,-0.9999999999999999,-1.0,1.0,-0.9999999999999977,1.0,1.0000000000000002,-0.9999999999999997,1.0
training_2732,1,HAU/user1/2-1-3,user1/2/1,3,3,Eating | Grabbing utensils | Peeling fruit | Pouring | Stirring | Walking,6,True,Hastily,Hastily,FAST,FAST,True,20.800000000745058,20.800000000745058,0.6458662251141581,1.1733509143927277,1.5291461440724807,9.275854427146736,155.67890575700136,0.5156150696192625,0.763949672962396,0.6749332936355735,0.673952245794803,14.018206713034033,0.04126333723599207,0.7012330608133467,0.08173076923076923,0.400000000014328,0.24038461537600478,0.10044878565051335,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.9999999999999998,0.9999999999999998,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,-0.9999999999999998,1.0000000000000007,0.9999999999999645,0.9999999999999997,1.4131587950468993,1.4135525898575587,1.413901707446071,1.408080831198695,1.4123719788672124,1.385939656108613,1.4142135623730951,1.1685603205247426,1.214139770337049,1.1738761616110929,-1.221949940105082,1.2654757720058167,-1.1184267256585476,0.6318103670261338,-0.6185257060010669,1.3297710132833862,0.9419135405213599,-1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999999,0.9999999999999979,1.0000000000000002,1.0,-1.0,1.0000000000000024,-0.9999999999999998,-0.9999999999999997,1.0000000000000004,-1.0
training_2733,1,HAU/user1/2-2-1,user1/2/2,1,3,Sitting down | Standing up | Typing on a keyboard | Walking,4,True,Slowly,Slowly,SLOW,SLOW,True,22.100000001490116,22.100000001490123,0.12325672943235894,0.27229425051772604,0.9064959481152951,1.61270076370398,27.84070163019006,0.10803116134626667,0.1535060914617547,0.7037581350276512,0.12583898842932298,2.7810416444755526,0.05456768761830091,0.4174099271368829,0.14479638009049775,2.5000000001685665,0.3167420814266071,0.09879262964294999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5102789122349848,-0.4940774732668922,-0.5440257154305337,-0.518570305709321,-0.45090490486966206,-0.4701746477289453,-0.45617879387468063,-0.6323828488359597,-0.3343932157490435,-0.6741834843830947,-1.348610481559885,0.07151610495436674,-0.63948317241785,-0.6879972323535776,-0.7560837150384497,-0.6981171302288051,-0.9268401794940028,-0.8277048559474365,-1.3324027809296735,-0.7071067811865476,-1.405684281063913,-1.412557027963586,-1.3859187681511285,1.4128063685506125,1.4114018535900292,0.22201848682448652,-0.5918843741386299,-0.6741834843830947,-0.1707451316694679,-1.4115878042722063,0.5102789122349861,-0.6012107595131175,-0.6360842885012701,-1.3996205832384505,-0.5268848478410135,-0.4980711443338181,-0.5318986993248395,-0.7595693878428477,1.3889386540852546,-0.5441848131219947,-0.33439321574904657,-1.0955530367349762,-0.9889145727385076,-0.31901875246663636,0.44832653039502063,-0.2774979608588592,-0.38939474353500203
