qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_0001,HAU,HAU/user1/1-1-1,single,Which action is performed in this video?,Jumping jacks,Checking the time,Stirring,Brushing teeth,A,user1
training_0002,HAU,HAU/user1/1-1-2,single,Which action is performed in this video?,Grabbing utensils,Lying down,Jumping jacks,Pouring,C,user1
training_0003,HAU,HAU/user1/1-1-3,single,Which action is performed in this video?,Typing on a keyboard,Combing hair,Brushing teeth,Checking body temperature,B,user1
training_0004,HAU,HAU/user1/1-2-1,single,Which action is performed in this video?,Running,Peeling fruit,Washing face,Playing games,B,user1
training_0005,HAU,HAU/user1/1-2-2,single,Which action is performed in this video?,Folding clothes,Grabbing utensils,Playing games,Checking the time,B,user1
training_0006,HAU,HAU/user1/1-2-3,single,Which action is performed in this video?,Eating,Sitting down,Taking a selfie,Sweeping,A,user1
training_0007,HAU,HAU/user1/2-1-1,single,Which action is performed in this video?,Mopping,Lying down,Peeling fruit,Getting dressed,C,user1
training_0008,HAU,HAU/user1/2-1-2,single,Which action is performed in this video?,Combing hair,Writing,Peeling fruit,Wiping hands,C,user1
training_0009,HAU,HAU/user1/2-1-3,single,Which action is performed in this video?,Sweeping,Lying down,Taking a selfie,Grabbing utensils,D,user1
training_0010,HAU,HAU/user1/2-2-1,single,Which action is performed in this video?,Playing games,Watching TV,Walking,Mopping,C,user1
training_0011,HAU,HAU/user1/2-2-2,single,Which action is performed in this video?,Massaging oneself,Stirring,Wiping surface,Walking,D,user1
training_0012,HAU,HAU/user1/2-2-3,single,Which action is performed in this video?,Walking,Washing dishes,Undressing,Turning a page,A,user1
training_0013,HAU,HAU/user1/3-1-1,single,Which action is performed in this video?,Wiping hands,Eating,Using a phone,Calling,B,user1
training_0014,HAU,HAU/user1/3-1-2,single,Which action is performed in this video?,Turning a page,Eating,Squats,Wiping surface,B,user1
training_0015,HAU,HAU/user1/3-1-3,single,Which action is performed in this video?,Lying down,Eating,Checking the time,Lunges,B,user1
training_0016,HAU,HAU/user1/3-2-1,single,Which action is performed in this video?,Brushing teeth,Checking body temperature,Walking,Jumping jacks,C,user1
training_0017,HAU,HAU/user1/3-2-2,single,Which action is performed in this video?,Watching TV,Combing hair,Sweeping,Checking the time,D,user1
training_0018,HAU,HAU/user1/3-2-3,single,Which action is performed in this video?,Taking a selfie,Squats,Checking body temperature,Grabbing utensils,B,user1
training_0019,HAU,HAU/user1/4-1-1,single,Which action is performed in this video?,Using a phone,Mopping,Lunges,Drinking,D,user1
training_0020,HAU,HAU/user1/4-1-2,single,Which action is performed in this video?,Calling,Playing games,Peeling fruit,Sweeping,C,user1
training_0021,HAU,HAU/user1/4-1-3,single,Which action is performed in this video?,Pouring,Lying down,Writing,Washing face,A,user1
training_0022,HAU,HAU/user1/5-1-1,single,Which action is performed in this video?,Typing on a keyboard,Taking a selfie,Massaging oneself,Checking body temperature,B,user1
training_0023,HAU,HAU/user1/5-1-2,single,Which action is performed in this video?,Listening to the music with headphones,Walking,Combing hair,Checking body temperature,A,user1
training_0024,HAU,HAU/user1/5-1-3,single,Which action is performed in this video?,Jumping jacks,Taking a selfie,Wiping hands,Using a phone,B,user1
training_0025,HAU,HAU/user1/6-1-1,single,Which action is performed in this video?,Eating,Folding clothes,Jumping jacks,Turning a page,A,user1
training_0026,HAU,HAU/user1/6-1-2,single,Which action is performed in this video?,Watching TV,Standing up,Sitting down,Eating,D,user1
training_0027,HAU,HAU/user1/6-1-3,single,Which action is performed in this video?,Checking the time,Walking,Reading,Wiping hands,B,user1
training_0028,HAU,HAU/user1/6-2-1,single,Which action is performed in this video?,Washing face,Wiping hands,Turning a page,Wiping surface,C,user1
training_0029,HAU,HAU/user1/6-2-2,single,Which action is performed in this video?,Playing games,Checking body temperature,Standing up,Wiping hands,C,user1
training_0030,HAU,HAU/user1/6-2-3,single,Which action is performed in this video?,Folding clothes,Grabbing utensils,Running,Sweeping,D,user1
training_0031,HAU,HAU/user1/7-1-1,single,Which action is performed in this video?,Eating,Taking a selfie,Standing up,Sitting down,D,user1
training_0032,HAU,HAU/user1/7-1-2,single,Which action is performed in this video?,Undressing,Sitting down,Eating,Using a phone,B,user1
training_0033,HAU,HAU/user1/7-1-3,single,Which action is performed in this video?,Lunges,Mopping,Taking medicine,Checking body temperature,C,user1
training_0034,HAU,HAU/user2/1-1-1,single,Which action is performed in this video?,Wiping surface,Sitting down,Wiping hands,Folding clothes,D,user2
training_0035,HAU,HAU/user2/1-1-2,single,Which action is performed in this video?,Getting dressed,Folding clothes,Squats,Washing face,B,user2
training_0036,HAU,HAU/user2/1-1-3,single,Which action is performed in this video?,Using a phone,Mopping,Folding clothes,Lying down,C,user2
training_0037,HAU,HAU/user2/1-2-1,single,Which action is performed in this video?,Lying down,Walking,Turning a page,Taking medicine,B,user2
training_0038,HAU,HAU/user2/1-2-2,single,Which action is performed in this video?,Playing games,Stretching,Calling,Writing,B,user2
training_0039,HAU,HAU/user2/1-2-3,single,Which action is performed in this video?,Drinking,Checking body temperature,Using a phone,Undressing,A,user2
training_0040,HAU,HAU/user2/2-1-1,single,Which action is performed in this video?,Reading,Pouring,Standing up,Wiping hands,B,user2
training_0041,HAU,HAU/user2/2-1-2,single,Which action is performed in this video?,Drinking,Combing hair,Getting dressed,Stretching,A,user2
training_0042,HAU,HAU/user2/2-1-3,single,Which action is performed in this video?,Reading,Grabbing utensils,Standing up,Turning a page,B,user2
training_0043,HAU,HAU/user2/2-2-1,single,Which action is performed in this video?,Combing hair,Massaging oneself,Reading,Typing on a keyboard,B,user2
training_0044,HAU,HAU/user2/2-2-2,single,Which action is performed in this video?,Eating,Mopping,Playing games,Taking a selfie,A,user2
training_0045,HAU,HAU/user2/2-2-3,single,Which action is performed in this video?,Washing dishes,Folding clothes,Eating,Writing,C,user2
training_0046,HAU,HAU/user2/3-1-1,single,Which action is performed in this video?,Drinking,Taking medicine,Sweeping,Reading,C,user2
training_0047,HAU,HAU/user2/3-1-2,single,Which action is performed in this video?,Pouring,Taking medicine,Sweeping,Calling,C,user2
training_0048,HAU,HAU/user2/3-1-3,single,Which action is performed in this video?,Jumping jacks,Wiping surface,Writing,Mopping,D,user2
training_0049,HAU,HAU/user2/3-2-2,single,Which action is performed in this video?,Combing hair,Walking,Typing on a keyboard,Lying down,B,user2
training_0050,HAU,HAU/user2/3-2-3,single,Which action is performed in this video?,Standing up,Stirring,Massaging oneself,Reading,D,user2
training_0051,HAU,HAU/user2/4-1-1,single,Which action is performed in this video?,Pouring,Wiping hands,Using a phone,Combing hair,C,user2
training_0052,HAU,HAU/user2/4-1-2,single,Which action is performed in this video?,Writing,Combing hair,Grabbing utensils,Turning a page,A,user2
training_0053,HAU,HAU/user2/4-1-3,single,Which action is performed in this video?,Drinking,Wiping surface,Watching TV,Calling,D,user2
training_0054,HAU,HAU/user2/4-2-1,single,Which action is performed in this video?,Standing up,Typing on a keyboard,Grabbing utensils,Folding clothes,C,user2
training_0055,HAU,HAU/user2/4-2-2,single,Which action is performed in this video?,Folding clothes,Eating,Taking a selfie,Reading,B,user2
training_0056,HAU,HAU/user2/4-2-3,single,Which action is performed in this video?,Eating,Checking the time,Writing,Squats,A,user2
training_0057,HAU,HAU/user2/4-3-1,single,Which action is performed in this video?,Walking,Brushing teeth,Sweeping,Listening to the music with headphones,A,user2
training_0058,HAU,HAU/user2/4-3-2,single,Which action is performed in this video?,Taking medicine,Sitting down,Playing games,Listening to the music with headphones,B,user2
training_0059,HAU,HAU/user2/4-3-3,single,Which action is performed in this video?,Sitting down,Folding clothes,Combing hair,Peeling fruit,A,user2
training_0060,HAU,HAU/user2/5-1-1,single,Which action is performed in this video?,Standing up,Squats,Listening to the music with headphones,Checking the time,B,user2
training_0061,HAU,HAU/user2/5-1-2,single,Which action is performed in this video?,Combing hair,Washing face,Squats,Listening to the music with headphones,C,user2
training_0062,HAU,HAU/user2/5-1-3,single,Which action is performed in this video?,Reading,Checking the time,Running,Eating,C,user2
training_0063,HAU,HAU/user2/5-2-1,single,Which action is performed in this video?,Using a phone,Stretching,Eating,Standing up,C,user2
training_0064,HAU,HAU/user2/5-2-2,single,Which action is performed in this video?,Walking,Stretching,Lying down,Typing on a keyboard,A,user2
training_0065,HAU,HAU/user2/5-2-3,single,Which action is performed in this video?,Playing games,Peeling fruit,Calling,Jumping jacks,B,user2
training_0066,HAU,HAU/user2/6-1-1,single,Which action is performed in this video?,Sweeping,Lunges,Turning a page,Stretching,D,user2
training_0067,HAU,HAU/user2/6-1-2,single,Which action is performed in this video?,Turning a page,Pouring,Wiping surface,Lunges,B,user2
training_0068,HAU,HAU/user2/7-1-1,single,Which action is performed in this video?,Sweeping,Pouring,Taking medicine,Washing dishes,C,user2
training_0069,HAU,HAU/user2/7-1-2,single,Which action is performed in this video?,Wiping hands,Taking medicine,Using a phone,Lunges,B,user2
training_0070,HAU,HAU/user2/7-1-3,single,Which action is performed in this video?,Pouring,Wiping surface,Taking medicine,Watching TV,C,user2
training_0071,HAU,HAU/user2/7-2-1,single,Which action is performed in this video?,Undressing,Walking,Typing on a keyboard,Running,B,user2
training_0072,HAU,HAU/user2/7-2-2,single,Which action is performed in this video?,Running,Using a phone,Squats,Walking,D,user2
training_0073,HAU,HAU/user2/7-2-3,single,Which action is performed in this video?,Taking medicine,Walking,Turning a page,Squats,B,user2
training_0074,HAU,HAU/user2/7-3-1,single,Which action is performed in this video?,Wiping hands,Writing,Squats,Folding clothes,A,user2
training_0075,HAU,HAU/user2/7-3-2,single,Which action is performed in this video?,Turning a page,Reading,Listening to the music with headphones,Writing,C,user2
training_0076,HAU,HAU/user2/7-3-3,single,Which action is performed in this video?,Listening to the music with headphones,Washing dishes,Stirring,Watching TV,A,user2
training_0113,HAU,HAU/user4/1-1-1,single,Which action is performed in this video?,Sitting down,Brushing teeth,Walking,Washing face,D,user4
training_0114,HAU,HAU/user4/1-1-2,single,Which action is performed in this video?,Drinking,Checking the time,Washing face,Lying down,C,user4
training_0115,HAU,HAU/user4/1-1-3,single,Which action is performed in this video?,Folding clothes,Pouring,Wiping hands,Running,C,user4
training_0116,HAU,HAU/user4/1-2-1,single,Which action is performed in this video?,Walking,Undressing,Folding clothes,Watching TV,A,user4
training_0117,HAU,HAU/user4/1-2-2,single,Which action is performed in this video?,Taking a selfie,Watching TV,Standing up,Peeling fruit,D,user4
training_0118,HAU,HAU/user4/1-2-3,single,Which action is performed in this video?,Jumping jacks,Grabbing utensils,Combing hair,Using a phone,B,user4
training_0119,HAU,HAU/user4/2-1-1,single,Which action is performed in this video?,Brushing teeth,Combing hair,Eating,Taking a selfie,C,user4
training_0120,HAU,HAU/user4/2-1-2,single,Which action is performed in this video?,Drinking,Checking body temperature,Jumping jacks,Typing on a keyboard,A,user4
training_0121,HAU,HAU/user4/2-1-3,single,Which action is performed in this video?,Listening to the music with headphones,Sweeping,Standing up,Using a phone,C,user4
training_0122,HAU,HAU/user4/2-2-1,single,Which action is performed in this video?,Listening to the music with headphones,Mopping,Checking the time,Jumping jacks,B,user4
training_0123,HAU,HAU/user4/2-2-2,single,Which action is performed in this video?,Turning a page,Writing,Eating,Sweeping,D,user4
