fold,user,truth,clock,gbm,clock_margin,gap,lrat,adj_truth,adj_clock,adj_gbm
0,user17,"(0, 1)","(0, 1)","(1, 2)",0.3199761458289887,99.29999999701977,0.5012561727498399,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 1)",0.7193671980604971,179.29999999701977,0.5668534552356532,False,False,True
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.22955615307433752,80.0,0.06559728248581327,True,True,True
0,user17,"(0, 1)","(0, 2)","(0, 2)",0.7245787435316573,138.09999999776483,0.736397164353762,True,False,False
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.9471735913710916,233.80000000074506,0.5232481437645479,False,False,False
0,user17,"(1, 2)","(1, 2)","(1, 2)",0.43761495996139654,95.70000000298023,-0.2131490205892141,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.4521746317896118,92.10000000149012,0.3014065548773467,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.15414321473236958,167.19999999925494,0.41292782930975397,False,False,False
0,user17,"(1, 2)","(0, 1)","(0, 1)",0.2742788767557949,75.09999999776483,0.11152127443240721,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.2461648736531845,132.10000000149012,0.018868484304382736,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.425961837290337,232.80000000074506,0.7088460901030491,False,False,False
0,user17,"(1, 2)","(0, 2)","(1, 2)",0.12260049331041534,100.69999999925494,0.6899776057986663,True,False,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.5068889636008289,126.10000000149012,0.2886214806937166,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.6124735991048342,271.4000000022352,0.7783675886686534,False,False,False
0,user17,"(1, 2)","(0, 2)","(0, 1)",0.1634316161825472,145.30000000074506,0.4897461079749367,True,False,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.4396634185903726,95.69999999925494,0.21484474849951474,True,True,True
0,user17,"(0, 2)","(0, 1)","(0, 2)",0.13963407639387881,176.0,0.27443684570176036,False,True,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.2210356482627951,80.30000000074506,0.0595920972022456,True,True,True
0,user17,"(0, 1)","(0, 1)","(1, 2)",0.4160348084241491,85.89999999850988,0.22314355131420976,True,True,True
0,user17,"(0, 2)","(0, 1)","(0, 2)",0.1424261015184265,160.0,0.32850406697203605,False,True,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.2615217719917795,74.10000000149012,0.10536051565782635,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.5049652905048432,145.69999999925494,0.23849182826100926,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.9032689175496252,261.5,0.46163537957521894,False,False,False
0,user17,"(1, 2)","(0, 1)","(0, 1)",0.4793750896139306,115.80000000074506,0.22314355131420976,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.2598438331083338,128.69999999925494,0.4112960284189576,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.3472150005788701,210.89999999850988,0.7907856501238614,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.3951340014886786,82.19999999925494,0.3794896217049037,True,True,True
0,user17,"(0, 1)","(0, 2)","(0, 2)",0.5890124753504203,444.9000000022352,0.1112256351102244,True,False,False
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.3133096108340474,532.6000000014901,0.34705434595174994,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.4275848699926791,87.69999999925494,0.23582871084152549,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.39707145058621196,113.19999999925494,0.127833371509885,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.9283875684636013,196.30000000074506,0.5917946862996578,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.3231292080230864,83.10000000149012,0.4639613147897729,True,True,True
0,user17,"(0, 1)","(0, 1)","(1, 2)",0.40540600628681134,79.10000000149012,0.2648162477147777,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.48272854712576185,181.69999999925494,0.4839783737298027,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.45697774614670805,102.59999999776483,0.2191621260150248,True,True,True
0,user17,"(0, 1)","(0, 1)","(0, 1)",0.19750310800977666,90.69999999925494,0.5621189181535412,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.2930078971290087,300.0999999977648,0.5361434317502806,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.13443605452624952,209.39999999850988,-0.025975486403260677,True,True,True
0,user17,"(0, 1)","(0, 1)","(1, 2)",0.40032558107396954,77.19999999925494,0.29298712468147414,True,True,True
0,user17,"(0, 2)","(0, 2)","(0, 2)",0.8218864649533324,144.39999999850988,0.8289487217190071,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.14430331401460317,67.19999999925494,0.5359615970375329,True,True,True
0,user17,"(0, 1)","(0, 1)","(1, 2)",0.42680534738310494,89.70000000298023,0.22089383158019424,True,True,True
0,user17,"(0, 2)","(0, 2)","(1, 2)",0.08754941237796743,166.30000000074506,0.3920420877760237,False,False,True
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.34481821156566905,76.59999999776483,0.17114825619582946,True,True,True
0,user17,"(0, 1)","(0, 2)","(0, 2)",0.5798390397917541,316.79999999701977,0.2585739882937103,True,False,False
0,user17,"(0, 2)","(0, 2)","(0, 2)",1.7935263746702517,495.0999999977648,0.5517355265101168,False,False,False
0,user17,"(1, 2)","(0, 1)","(1, 2)",0.0733738981497537,178.30000000074506,0.29316153821640645,True,True,True
0,user22,"(0, 1)","(0, 2)","(0, 2)",1.4050418653038608,221.19999999925494,0.7997569156182036,True,False,False
0,user22,"(0, 2)","(0, 2)","(0, 2)",1.2499625389916287,892.2999999970198,0.2839437503411738,False,False,False
0,user22,"(1, 2)","(1, 2)","(1, 2)",2.2726828820427265,671.0999999977648,-0.5158131652770298,True,True,True
0,user22,"(0, 1)","(0, 1)","(0, 1)",0.4698400452116328,121.19999999925494,0.19703889932048282,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",1.6847873749429787,293.80000000074506,0.7854392494213647,False,False,False
0,user22,"(1, 2)","(0, 2)","(1, 2)",0.7328831074326108,172.60000000149012,0.588400350100882,True,False,True
0,user22,"(0, 1)","(1, 2)","(0, 1)",0.07652705266319815,111.10000000149012,-0.10880285984879906,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",1.1443322326218102,202.30000000074506,0.6445394814945685,False,False,False
0,user22,"(1, 2)","(1, 2)","(1, 2)",0.04453865892718911,91.19999999925494,0.7533423413433676,True,True,True
0,user22,"(0, 1)","(0, 1)","(0, 1)",0.3739845814682278,77.60000000149012,0.20448312859680712,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",0.20472284972461263,144.5,0.50626980723013,False,False,False
0,user22,"(1, 2)","(0, 1)","(1, 2)",0.34662425893462534,66.89999999850988,0.3017866786333229,True,True,True
0,user22,"(0, 1)","(0, 1)","(0, 1)",0.3541546700908943,102.19999999925494,0.4807481685287128,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",0.9992123141890297,167.40000000223517,0.9833770250905249,False,False,False
0,user22,"(1, 2)","(0, 1)","(1, 2)",0.18424243887663183,65.20000000298023,0.5026288565618122,True,True,True
0,user22,"(0, 1)","(0, 1)","(0, 1)",0.04222065430523991,83.60000000149012,-0.037139546949456766,True,True,True
0,user22,"(0, 2)","(0, 1)","(0, 1)",0.09581125873882612,159.60000000149012,-0.05264373348542203,False,True,True
0,user22,"(1, 2)","(0, 1)","(0, 1)",0.059933554499738695,76.0,-0.015504186535965199,True,True,True
0,user22,"(0, 1)","(0, 1)","(0, 1)",0.28144472729883996,62.600000001490116,0.19105523676270922,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",0.6233381824461948,136.69999999925494,1.0560526742493137,False,False,False
0,user22,"(1, 2)","(1, 2)","(1, 2)",0.4861203645059943,74.09999999776483,0.8649974374866045,True,True,True
0,user22,"(0, 1)","(0, 2)","(1, 2)",0.332259321534199,425.30000000074506,0.012987195526811112,True,False,True
0,user22,"(0, 2)","(1, 2)","(0, 1)",12.285776303167964,174216.6000000015,-0.12136085700426748,False,True,True
0,user22,"(1, 2)","(1, 2)","(0, 2)",12.31560363866506,173791.30000000075,-0.13434805253107854,True,True,False
0,user22,"(0, 1)","(0, 1)","(1, 2)",0.3201394408297593,68.30000000074506,0.39429180751003917,True,True,True
0,user22,"(0, 2)","(0, 2)","(0, 2)",0.4654804388597874,127.10000000149012,1.0874389880699844,False,False,False
0,user22,"(1, 2)","(1, 2)","(1, 2)",0.2663905277260079,58.80000000074506,0.6931471805599453,True,True,True
0,user22,"(0, 1)","(0, 2)","(0, 2)",0.4900384252277501,323.80000000074506,0.21130909366720696,True,False,False
0,user22,"(0, 2)","(0, 2)","(0, 2)",1.055340674387244,404.1000000014901,0.34390721510873096,False,False,False
0,user22,"(1, 2)","(0, 1)","(0, 1)",0.3220818033526023,80.30000000074506,0.13259812144152416,True,True,True
